expose_id;plz;region;typ;etagenzahl;wohnflaeche;kaufpreis;grundstueck;zimmer;schlafzimmer;badezimmer;baujahr;modernisierung;bauphase;objektzustand;heizungsart;energietraeger;energieausweis;energieausweistyp;energiebedarf;energieeffizienzklasse
112511336;09380;09380 Thalheim, Thalheim/Erzgebirge;Mehrfamilienhaus;1;160;35000;230;8;2;1;1863;2000;Haus fertig gestellt;Saniert;Zentralheizung;Gas;liegt vor;Bedarfsausweis;177;F
112831803;16230;16230 Britz, Barnim (Kreis);Einfamilienhaus (freistehend);2;125;249000;768;4;2;1;1978;1993;;Renovierungsbedürftig;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;E
112843165;25474;25474 Bönningstedt, Pinneberg (Kreis);Wohnimmobilie (sonstige);1;180;650000;827;6;4;2;2004;1974;Haus fertig gestellt;Modernisiert;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;256,3;H
112843655;25474;25474 Bönningstedt, Pinneberg (Kreis);Einfamilienhaus (freistehend);1;184;550000;958;8;8;1;1984;;Haus fertig gestellt;Gepflegt;Öl-Heizung;Öl;liegt vor;Bedarfsausweis;275,5;H
112950064;14193;14193 Berlin / Grunewald, Berlin;Doppelhaushälfte;4;432;4250000;673;9;7;3;1895;;;Erstbezug nach Sanierung;Fußbodenheizung;Gas;liegt vor;Bedarfsausweis;273,5;G
113000488;15374;15374 Müncheberg, Märkisch-Oderland (Kreis);Reihenmittelhaus;4;128;285000;201;5;3;2;1900;2014;;Saniert;Zentralheizung;Gas;liegt vor;Bedarfsausweis;95,8;C
113068246;22927;22927 Großhansdorf, Stormarn (Kreis);Doppelhaushälfte;3;117,61;529000;377;5;3;1;2020;;Haus in Planung (projektiert);Erstbezug;;Gas;liegt vor;Bedarfsausweis;42;A
113116533;66424;66424 Homburg, Saarpfalz-Kreis;Mehrfamilienhaus;2;268;480000;1150;11;5;3;1977;2017;Haus fertig gestellt;Gepflegt;Zentralheizung;Öl;liegt vor;Bedarfsausweis;146;E
113152612;14163;14163 Berlin, Zehlendorf;;2;250;1395000;771;7;;;1993;;;;Zentralheizung;Öl;liegt vor;Verbrauchsausweis;;D
113152984;14974;14974 Ludwigsfelde, Teltow-Fläming (Kreis);Bungalow;1;137;729200;689;4;2;2;2020;;Haus in Planung (projektiert);Erstbezug;Fußbodenheizung;Solar;liegt vor;Bedarfsausweis;10,4;A+
113152990;13127;13127 Berlin, Französisch Buchholz;Einfamilienhaus (freistehend);2;126;549000;628;4;2;2;1989;2013;;Gepflegt;Gas-Heizung;Gas;liegt vor;Verbrauchsausweis;;G
113224669;83512;83512 Wasserburg, Wasserburg am Inn;Wohnimmobilie (sonstige);4;200;799000;246;5;;;2014;;Haus fertig gestellt;Neuwertig;Zentralheizung;Bioenergie;liegt vor;Bedarfsausweis;92,9;C
113227068;15377;15377 Buckow, Buckow (Märkische Schweiz);Wohnimmobilie (sonstige);4;217;329000;958;6;4;2;1900;;;;Zentralheizung;Gas;liegt vor;Bedarfsausweis;247;G
113343841;21726;21726 Oldendorf, Stade (Kreis);Mehrfamilienhaus;1;215;285000;998;6;;;1800;;;Modernisiert;;Öl;liegt vor;Verbrauchsausweis;;D
113370736;66954;66954 Pirmasens, Fehrbach;Wohnimmobilie (sonstige);1;176;99000;351;6;;;1908;;;Renovierungsbedürftig;;;liegt vor;Bedarfsausweis;225,4;G
113595860;22587;22587 Hamburg, Blankenese;Doppelhaushälfte;4;164;1245000;292;4;3;2;2019;;;Erstbezug;Blockheizkraftwerke;Strom, Erdgas leicht;;Bedarfsausweis;42,5;A
113716851;13125;13125 Berlin, Karow;Mehrfamilienhaus;3;228;698000;694;7;;;1928;2017;;Modernisiert;Gas-Heizung;Gas;liegt vor;Verbrauchsausweis;;F
113768204;16356;16356 Ahrensfelde, Barnim (Kreis);Einfamilienhaus (freistehend);2;146;529000;506;5;3;1;unbekannt;;Haus in Planung (projektiert);Erstbezug;Wärmepumpe;;liegt vor;Verbrauchsausweis;;A+
114117538;15370;15370 Petershagen - Eggersdorf, Petershagen/Eggersdorf;Einfamilienhaus (freistehend);2;112,93;499000;1757;4;3;2;1997;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
114141667;59494;59494 Soest, Soest (Kreis);Villa;2;808;7950000;2708;11;5;3;2008;;Haus fertig gestellt;Neuwertig;Fußbodenheizung;Erdwärme;liegt vor;Verbrauchsausweis;;A
114246039;22147;22147 Hamburg, Rahlstedt;Einfamilienhaus (freistehend);2;180;725000;859;7;5;2;1975;;Haus fertig gestellt;Renovierungsbedürftig;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;D
114281945;22459;22459 Hamburg, Schnelsen;Einfamilienhaus (freistehend);2;210;849000;839;8;;;1935;;;Gepflegt;Zentralheizung;Öl;liegt vor;Bedarfsausweis;154,3;E
114291082;21465;21465 Reinbek, Stormarn (Kreis);Bungalow;2;124;569000;830;4;;;1981;;;;;Gas;liegt vor;Verbrauchsausweis;;A+
114382398;21635;21635 Jork / Wester Ladekop, Jork;Einfamilienhaus (freistehend);2;144;395000;454;4,5;2;2;1978;;;Gepflegt;Zentralheizung;Gas, Öl;liegt vor;Verbrauchsausweis;;D
114444859;22952;22952 Lütjensee, Stormarn (Kreis);Villa;2;268;1100000;3316;10;;;1955;2002;;Gepflegt;Fußbodenheizung;Gas;liegt vor;Bedarfsausweis;118,1;D
114477557;16552;16552 Schildow, Mühlenbecker Land;Einfamilienhaus (freistehend);2;120;579000;814;3;1;1;1935;2002;;Gepflegt;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;158,31;E
114577591;84335;84335 Mitterskirchen, Rottal-Inn (Kreis);Einfamilienhaus (freistehend);2;159,44;399000;716;5;;;2020;;;;;Flüssiggas;liegt vor;Bedarfsausweis;69;B
114581106;74182;74182 Obersulm-Affaltrach, Obersulm;Einfamilienhaus (freistehend);2;236,27;489000;528;8;;3;1971;;;Renovierungsbedürftig;Zentralheizung;Öl;liegt vor;Bedarfsausweis;246,7;G
114592264;25462;25462 Rellingen, Pinneberg (Kreis);Einfamilienhaus (freistehend);2;120;569000;329;5;;2;1999;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
114617894;16567;16567 Mühlenbeck, Mühlenbecker Land;Einfamilienhaus (freistehend);3;145,19;765000;1461;6;5;3;2000;2004;Haus fertig gestellt;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;E
114622063;48336;48336 Sassenberg, Warendorf (Kreis);Mehrfamilienhaus;3;161;360000;742;9;;;1964;2007;Haus fertig gestellt;Modernisiert;;Gas;liegt vor;Verbrauchsausweis;;B
114632789;31303;31303 Burgdorf, Hannover (Kreis);Reiheneckhaus;2;85;229990;219,35;3;2;1;2021;;Haus in Planung (projektiert);Erstbezug;Blockheizkraftwerke;Nahwärme;liegt vor;Bedarfsausweis;54,7;A
114664891;06429;06429 Nienburg, Nienburg (Saale);Reihenmittelhaus;2;110;69000;100;3;2;2;1920;2018;Haus fertig gestellt;Saniert;Zentralheizung;Gas;liegt vor;Bedarfsausweis;268,6;H
114728495;15732;15732 Eichwalde, Dahme-Spreewald (Kreis);Einfamilienhaus (freistehend);1;49;225000;962;2;;;1923;2000;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;C
114755609;33415;33415 Verl, Gütersloh (Kreis);Doppelhaushälfte;3;100;318000;353;4;3;1;2006;;Haus fertig gestellt;Gepflegt;;Gas;liegt vor;Bedarfsausweis;85,4;C
114863641;16547;16547 Birkenwerder, Oberhavel (Kreis);Mehrfamilienhaus;3;170;670000;1800;7;;;1936;;;;;Gas;;Bedarfsausweis;235;G
114947683;21256;21256 Handeloh (Höckel), Handeloh;Einfamilienhaus (freistehend);3;167,71;529000;5083;5,5;4;2;2001;;;Gepflegt;;Solar, Strom;liegt vor;Verbrauchsausweis;;B
114965253;15834;15834 Rangsdorf, Teltow-Fläming (Kreis);Villa;3;464;1050000;814;11;;3;2000;;;Neuwertig;Fußbodenheizung;Erdwärme;liegt vor;Verbrauchsausweis;;B
114981254;12305;12305 Berlin-Lichtenrade, Berlin;Doppelhaushälfte;2;96;479000;471;4;3;1;1971;;Haus fertig gestellt;;Zentralheizung;Gas;liegt vor;Bedarfsausweis;256,9;H
115060456;16547;16547 Birkenwerder, Oberhavel (Kreis);Mehrfamilienhaus;4;553;1388000;682;10;6;7;2005;;Haus fertig gestellt;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
115180323;45475;45475 Mülheim, Dümpten;Doppelhaushälfte;2;99,4;379000;796;3,5;1;1;1938;1985;;Gepflegt;Zentralheizung;Gas;liegt vor;Bedarfsausweis;194,92;F
115202430;15837;15837 Baruth, Baruth/Mark;Bauernhaus;2;85;225000;4110;3;;;1890;;;;Zentralheizung;Öl;liegt vor;Verbrauchsausweis;;G
115213765;55270;55270 Jugenheim, Jugenheim in Rheinhessen;Doppelhaushälfte;3;135;489000;370;5;3;2;2020;2020;Haus im Bau;;Wärmepumpe;Strom;liegt vor;Bedarfsausweis;26,8;A+
115275047;16515;16515 Oranienburg, Oberhavel (Kreis);Einfamilienhaus (freistehend);3;57;200000;996;2;;1;1936;;;;Gas-Heizung;Gas;liegt vor;Verbrauchsausweis;;H
115386364;20099;20099 Hamburg, St. Georg;Einfamilienhaus (freistehend);3;330;3690000;0;7;6;3;2021;;;;;Fernwärme;liegt vor;Bedarfsausweis;121,36;D
115404410;23899;23899 Gudow, Herzogtum Lauenburg (Kreis);Einfamilienhaus (freistehend);2;177;425000;746;7;5;3;1965;2017;;Gepflegt;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;E
115408448;22397;22397 Hamburg, Duvenstedt;Villa;2;400;3600000;1745;9;7;4;2008;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;C
115418090;21259;21259 Otter, Harburg (Kreis);Doppelhaushälfte;2;132;399000;650;5;4;2;2020;;;Erstbezug;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;44,6;A
115419452;21259;21259 Otter, Harburg (Kreis);Einfamilienhaus (freistehend);1;153;498000;1250;5;3;1;2020;;;Erstbezug;Fußbodenheizung;Gas;liegt vor;Bedarfsausweis;46,3;A
115435733;57223;57223 Kreuztal, Siegen-Wittgenstein (Kreis);Einfamilienhaus (freistehend);3;132,79;210000;381;6;5;2;1969;;;Gepflegt;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;247,4;G
115500635;67596;67596 Dittelsheim-Heßloch, Alzey-Worms (Kreis);Einfamilienhaus (freistehend);2;150;381150;900;5;3;2;2020;;Haus in Planung (projektiert);;Wärmepumpe;;liegt vor;Bedarfsausweis;18;A+
115527370;12307;12307 Berlin, Lichtenrade;Einfamilienhaus (freistehend);2;178;1190000;1263;6;5;1;1963;;;Neuwertig;Zentralheizung;Gas;liegt vor;Bedarfsausweis;112;D
115541585;15738;15738 Zeuthen, Dahme-Spreewald (Kreis);Einfamilienhaus (freistehend);2;130;599000;759;4;3;1;2013;;;Neuwertig;Etagenheizung;Gas;liegt vor;Verbrauchsausweis;;B
115542195;53773;53773 Hennef, Hennef (Sieg);Einfamilienhaus (freistehend);2;219;780000;600;4;;;2014;;;Gepflegt;;Fernwärme;liegt vor;Verbrauchsausweis;;C
115543485;31185;31185 Söhlde, Hildesheim (Kreis);Mehrfamilienhaus;2;822;669000;3300;18;;8;1996;2018;Haus fertig gestellt;Neuwertig;;Öl;liegt vor;Bedarfsausweis;54,6;B
115557333;24558;24558 Henstedt, Henstedt-Ulzburg;Doppelhaushälfte;2;140,54;579000;200;4;;;2019;;Haus fertig gestellt;Erstbezug;Fußbodenheizung;Gas;liegt vor;Bedarfsausweis;30,1;A+
115561888;16515;16515 Oranienburg OT Zehlendorf, Oranienburg;Einfamilienhaus (freistehend);2;155,58;446000;478;5;4;2;2019;;Haus fertig gestellt;Neuwertig;Fußbodenheizung;Gas;liegt vor;Bedarfsausweis;58;B
115567444;24576;24576 Bad Bramstedt, Segeberg (Kreis);Einfamilienhaus (freistehend);2;165;414000;649;5;4;2;2020;;Haus in Planung (projektiert);Erstbezug;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;22;A
115634445;25489;25489 Haselau, Pinneberg (Kreis);Mehrfamilienhaus;2;240;265000;750;9;4;3;1948;;;;Zentralheizung;Öl;;Verbrauchsausweis;;E
115652364;12555;12555 Berlin, Köpenick;Einfamilienhaus (freistehend);2;154;574720;570;5;3;2;2020;;Haus in Planung (projektiert);;;;;Bedarfsausweis;18;A+
115672061;98714;98714 Stützerbach, Ilm-Kreis;Doppelhaushälfte;1;97;60000;1263;3;;1;1920;1994;;;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
115687342;27419;27419 Sittensen / Tiste, Rotenburg (Wümme) (Kreis);Einfamilienhaus (freistehend);1;269;575000;2453;6;3;3;1900;;;Modernisiert;Zentralheizung;Gas;liegt vor;Bedarfsausweis;134,4;E
115687392;21266;21266 Jesteburg, Harburg (Kreis);Einfamilienhaus (freistehend);3;132;645000;1100;5;2;2;1991;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;C
115707624;25462;25462 Rellingen, Pinneberg (Kreis);Reiheneckhaus;4;81;399000;397;4;;1;1969;2009;Haus fertig gestellt;Gepflegt;Zentralheizung;Gas;liegt vor;Bedarfsausweis;281,6;H
115729391;21683;21683 Stade, Stade (Kreis);Einfamilienhaus (freistehend);4;274;775000;1459;4;;;1977;;;;;Gas;liegt vor;Verbrauchsausweis;;D
115729612;25355;25355 Bevern, Pinneberg (Kreis);Einfamilienhaus (freistehend);4;350;1390000;12122;10;;;1908;;;;;Gas;liegt vor;Bedarfsausweis;189;F
115732363;12621;12621 Berlin, Hellersdorf;Einfamilienhaus (freistehend);3;370;1999999;865;15;14;6;2015;;Haus fertig gestellt;Neuwertig;Fußbodenheizung;Gas;liegt vor;Verbrauchsausweis;;B
115738245;13088;13088 Berlin, Weißensee;Reihenmittelhaus;3;142,25;674500;143;4;3;1;2019;;;Erstbezug;Fußbodenheizung;Fernwärme;liegt vor;Bedarfsausweis;58;B
115738278;13088;13088 Berlin, Weißensee;Reihenmittelhaus;3;160,02;686500;68;5;3;1;2019;;;Erstbezug;Fußbodenheizung;Fernwärme;liegt vor;Bedarfsausweis;49,5;A
115742392;25335;25335 Bokholt, Bokholt-Hanredder;Mehrfamilienhaus;3;180;479000;965;8;6;3;1970;2015;;Modernisiert;Öl-Heizung;Öl;liegt vor;Bedarfsausweis;98;C
115755750;09243;09243 Niederfrohna, Zwickau (Kreis);Mehrfamilienhaus;3;281,9;485000;722;7;5;3;2000;;Haus fertig gestellt;Neuwertig;Wärmepumpe;Strom;liegt vor;Bedarfsausweis;38,2;A
115757160;12524;12524 Berlin, Altglienicke;Mehrfamilienhaus;3;273;850000;781;10;;;unbekannt;;;;;Gas;liegt vor;Verbrauchsausweis;;H
115758319;95512;95512 Neudrossenfeld, Kulmbach (Kreis);Einfamilienhaus (freistehend);2;156;394140;540;5,5;3;1;unbekannt;;;;Wärmepumpe;;liegt vor;Bedarfsausweis;18;A+
115764710;16547;16547 Birkenwerder, Oberhavel (Kreis);Mehrfamilienhaus;4;553;1388000;682;10;6;7;2005;;Haus fertig gestellt;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
115826688;12589;12589 Berlin, Rahnsdorf;Einfamilienhaus (freistehend);4;91;429000;594;3;;1;1999;;Haus fertig gestellt;Neuwertig;Gas-Heizung;;liegt vor;Verbrauchsausweis;;C
115830783;12209;12209 Berlin / Steglitz, Lichterfelde;Mehrfamilienhaus;2;247;1089000;623;8;4;4;1984;2000;;Modernisiert;Zentralheizung;Öl;liegt vor;Verbrauchsausweis;;F
115831012;74382;74382 Neckarwestheim, Heilbronn (Kreis);Reiheneckhaus;3;133;629000;236;6;;1;2017;2017;Haus fertig gestellt;Neuwertig;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;41,3;A
115834765;22143;22143 Hamburg, Rahlstedt;Doppelhaushälfte;1;177;595000;1011;5;;2;1971;;;Gepflegt;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;H
115842244;34327;34327 Körle, Schwalm-Eder-Kreis;Doppelhaushälfte;2;154;139000;326;6;;;1955;;Haus fertig gestellt;;;Strom;liegt vor;Bedarfsausweis;260;H
115897949;21493;21493 Schwarzenbek, Herzogtum Lauenburg (Kreis);Einfamilienhaus (freistehend);1;97;330000;800;5;3;2;1953;;;Renovierungsbedürftig;Zentralheizung;Öl;liegt vor;Verbrauchsausweis;;H
115922560;57223;57223 Kreuztal, Siegen-Wittgenstein (Kreis);Einfamilienhaus (freistehend);3;247;410000;706;9;;3;1984;;Haus fertig gestellt;Gepflegt;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;D
115924413;22547;22547 Hamburg, Lurup;Doppelhaushälfte;3;84,38;490000;826;4;;;1974;;;;Öl-Heizung;Öl;liegt vor;Bedarfsausweis;203,9;G
115950973;16227;16227 Eberswalde, Barnim (Kreis);Einfamilienhaus (freistehend);3;170;412500;1000;5;4;2;2020;;Haus fertig gestellt;Erstbezug;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;55;A
116055767;13503;13503 Berlin, Heiligensee;Villa;3;395;1980000;1418;9;5;5;2006;2018;Haus fertig gestellt;Neuwertig;Zentralheizung;Gas;liegt vor;Bedarfsausweis;95;C
116133538;23795;23795 Bad Segeberg, Segeberg (Kreis);Einfamilienhaus (freistehend);3;143;593920;540;5;;;2020;;Haus in Planung (projektiert);Erstbezug;Fußbodenheizung;Solar;liegt vor;Bedarfsausweis;4,9;A+
116147110;01662;01662 Meißen, Meißen (Kreis);Villa;2;320;875000;3740;9;;2;1937;2020;Haus fertig gestellt;Gepflegt;Zentralheizung;Öl;liegt vor;Bedarfsausweis;62,8;B
116167117;25336;25336 Klein Nordende, Pinneberg (Kreis);Doppelhaushälfte;2;146,7;299500;2000;4;2;2;1910;;;Modernisiert;Zentralheizung;Gas, Holz;liegt vor;Bedarfsausweis;196,1;F
116174380;21423;21423 Winsen/Luhe, Winsen (Luhe);Einfamilienhaus (freistehend);2;140;450000;1653;6;4;2;1957;;;Gepflegt;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;F
116205784;21039;21039 Escheburg, Altengamme;Villa;2;396;1395000;4910;8;5;3;1993;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
116233770;21129;21129 Hamburg, Finkenwerder;Einfamilienhaus (freistehend);2;114;399000;111;4;;;1940;2014;Haus fertig gestellt;Vollständig renoviert;Gas-Heizung;Erdgas leicht;liegt vor;Verbrauchsausweis;;F
116242062;21079;21079 Hamburg-Heimfeld, Hamburg;Mehrfamilienhaus;2;180;749000;1800;7;;;1896;2013;Haus fertig gestellt;Modernisiert;Zentralheizung;Gas;liegt vor;Bedarfsausweis;98,8;C
116294056;12309;12309 Berlin, Lichtenrade;Doppelhaushälfte;2;163;598000;388;7;;;1987;;;Gepflegt;Zentralheizung;Öl;liegt vor;Verbrauchsausweis;;D
116330305;12209;12209 Berlin, Lichterfelde;Mehrfamilienhaus;3;240;899800;1018;10;5;5;1959;2016;Haus fertig gestellt;Gepflegt;Zentralheizung;Öl;liegt vor;Bedarfsausweis;145,4;E
116370970;26723;26723 Emden, Wybelsum;Einfamilienhaus (freistehend);2;280;499000;677;7;6;2;unbekannt;2019;Haus fertig gestellt;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;C
116386976;74912;74912 Kirchardt, Heilbronn (Kreis);Einfamilienhaus (freistehend);2;306;795000;973;6;3;2;2000;;;Gepflegt;Fußbodenheizung;Gas;liegt vor;Verbrauchsausweis;;B
116391724;12527;12527 Berlin, Schmöckwitz;Einfamilienhaus (freistehend);1;169;480000;1045;4;2;2;1928;;;Gepflegt;Zentralheizung;Gas;liegt vor;Bedarfsausweis;170;F
116400918;12623;12623 Berlin, Mahlsdorf;Einfamilienhaus (freistehend);1;128;590000;546;7;3;2;1997;;Haus fertig gestellt;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
116452306;21035;21035 Hamburg, Bergedorf (Ortsteil);Einfamilienhaus (freistehend);1;123;675000;639;4;3;1;2020;;Haus fertig gestellt;Erstbezug;Wärmepumpe;Strom;liegt vor;Bedarfsausweis;10;A+
116452470;15345;15345 Altlandsberg / Bruchmühle, Altlandsberg;Bungalow;1;110;499000;588;4;;1;2002;;;Gepflegt;Fußbodenheizung;Gas;liegt vor;Verbrauchsausweis;;E
116458862;15344;15344 Strausberg, Märkisch-Oderland (Kreis);Einfamilienhaus (freistehend);3;72;299000;780;2;1;1;1953;;;Gepflegt;Zentralheizung;Gas;liegt vor;Bedarfsausweis;313,5;H
116462084;13125;13125 Berlin, Karow;Einfamilienhaus (freistehend);2;96;459000;800;4;3;1;1936;2003;;Gepflegt;Gas-Heizung;Gas;liegt vor;Bedarfsausweis;426,8;H
