sex;age;agegr;placesize;region;edu;eduspec;socprof;unempdur;income;marital;mmarr;ymarr;msepdiv;ysepdiv;ls;depress;trust;trustfam;trustneigh;sport;nofriend;smoke;nociga;alcabuse;alcsol;workab;wkabdur;wkabint;wkabintdur;emcc;englang;height;weight;bmi
FEMALE;38;35-44;URBAN 100,000-200,000;Kujawsko-pomorskie;VOCATIONAL/GRAMMAR;services for the population and transport services;EMPLOYED IN PRIVATE SECTOR;-8;1500;MARRIED;4;1994;NA;NA;MOSTLY DISSATISFIED;0;ONE CAN`T BE TOO CAREFUL;NO OPINION;NO OPINION;YES;4;YES;4;NO;NO;YES;4;NO;NA;NA;NONE;180;77;23.76543209876543
FEMALE;73;65+;URBAN 200,000-500,000;Slaskie;VOCATIONAL/GRAMMAR;services for the population and transport services;LONG-TERM SICK/DISABLED;24;1700;WIDOWED;5;1995;7;2006;PLEASED;6;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;20;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;168;78;27.636054421768712
FEMALE;54;45-59;URBAN 200,000-500,000;Slaskie;SECONDARY;social sciences;EMPLOYED IN PRIVATE SECTOR;0;2000;WIDOWED;10;1987;3;1993;MOSTLY SATISFIED;4;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;5;YES;15;NO;NO;NO;-8;NO;NA;NA;NONE;170;75;25.95155709342561
MALE;30;25-34;URBAN 200,000-500,000;Zachodnio-pomorskie;VOCATIONAL/GRAMMAR;social sciences;EMPLOYED IN PRIVATE SECTOR;0;900;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;14;YES;20;NO;NO;NO;-8;NO;NA;NA;NONE;170;74;25.605536332179934
MALE;68;65+;RURAL AREAS;Pomorskie;SECONDARY;no specialisation;RETIRED;0;-8;MARRIED;4;1970;NA;NA;DELIGHTED;3;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;8;NO;-8;NO;NO;NO;-8;NO;NA;NA;NA;165;65;23.875114784205696
MALE;61;60-64;RURAL AREAS;Mazowieckie;PRIMARY/NO EDUCATION;no specialisation;FARMER;0;-8;MARRIED;9;1985;NA;NA;MIXED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;6;YES;20;NO;NO;NO;-8;NO;NA;NA;NONE;NA;NA;NA
MALE;84;65+;RURAL AREAS;Slaskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;2000;SINGLE;NA;NA;NA;NA;PLEASED;11;MOST PEOPLE CAN BE TRUSTED;NO OPINION;NO OPINION;YES;0;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;170;56;19.377162629757787
FEMALE;87;65+;URBAN 500,000 AND OVER;Lodzkie;SECONDARY;social sciences;RETIRED;24;1400;DIVORCED;7;1945;6;1952;MIXED;11;IT`S DIFFICULT TO TELL;NO;NO;YES;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;155;75;31.217481789802285
MALE;47;45-59;URBAN 100,000-200,000;Slaskie;PRIMARY/NO EDUCATION;no specialisation;UNEMPLOYED;8;560;MARRIED;5;1984;NA;NA;PLEASED;1;IT`S DIFFICULT TO TELL;YES;NO;YES;4;YES;20;NO;NO;NO;-8;NO;NA;NA;NONE;164;70;26.026174895895306
MALE;45;45-59;RURAL AREAS;Podkarpackie;VOCATIONAL/GRAMMAR;technical science;UNEMPLOYED;8;530;MARRIED;6;1991;NA;NA;PLEASED;4;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;1;YES;25;NO;NO;NO;-8;YES, TO EU COUNTRY;IT DEPENDS;GERMANY;NONE;181;78;23.808797045267237
FEMALE;60;60-64;RURAL AREAS;Podkarpackie;VOCATIONAL/GRAMMAR;agriculture, forestry, fishing;LONG-TERM SICK/DISABLED;-8;700;MARRIED;4;1970;NA;NA;MIXED;8;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;164;100;37.18024985127901
MALE;27;25-34;RURAL AREAS;Mazowieckie;VOCATIONAL/GRAMMAR;no specialisation;EMPLOYED IN PRIVATE SECTOR;3;1000;SINGLE;NA;NA;NA;NA;PLEASED;0;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;3;YES;15;NO;NO;NO;-8;NO;NA;NA;NONE;175;97;31.6734693877551
FEMALE;49;45-59;URBAN 20,000-100,000;Lubelskie;POST-SECONDARY OR HIGHER;social sciences;SELF-EMPLOYED;-8;-8;MARRIED;6;1990;NA;NA;PLEASED;1;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;18;YES;5;NO;NO;NO;-8;NO;NA;NA;NONE;160;60;23.437499999999996
FEMALE;58;45-59;URBAN 200,000-500,000;Slaskie;POST-SECONDARY OR HIGHER;pedagogics;EMPLOYED IN PUBLIC SECTOR;0;3500;MARRIED;7;1974;NA;NA;MOSTLY SATISFIED;2;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;3;YES;5;NO;NO;NO;-8;NO;NA;NA;NONE;162;59;22.481329065691202
MALE;30;25-34;RURAL AREAS;Podkarpackie;VOCATIONAL/GRAMMAR;services for the population and transport services;SELF-EMPLOYED;-8;1600;SINGLE;NA;NA;NA;NA;PLEASED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;174;75;24.772096710265558
MALE;59;45-59;URBAN 100,000-200,000;Malopolskie;SECONDARY;services for the population and transport services;RETIRED;0;1300;MARRIED;7;1980;NA;NA;PLEASED;9;MOST PEOPLE CAN BE TRUSTED;YES;YES;YES;3;YES;25;YES;YES;NO;-8;NO;NA;NA;NONE;176;68;21.952479338842977
FEMALE;26;25-34;URBAN 500,000 AND OVER;Dolnoslaskie;POST-SECONDARY OR HIGHER;pedagogics;EMPLOYED IN PRIVATE SECTOR;-8;1500;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;1;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;5;NO;-8;NO;NO;YES;24;NO;NA;NA;ACTIVE;160;58;22.656249999999996
FEMALE;35;35-44;URBAN BELOW 20,000;Mazowieckie;SECONDARY;social sciences;LONG-TERM SICK/DISABLED;0;1300;SINGLE;NA;NA;NA;NA;MIXED;4;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;158;52;20.82999519307803
MALE;17;16-24;URBAN BELOW 20,000;Zachodnio-pomorskie;PRIMARY/NO EDUCATION;no specialisation;PUPIL OR STUDENT;-8;NA;SINGLE;NA;NA;NA;NA;MIXED;2;ONE CAN`T BE TOO CAREFUL;NO OPINION;NO OPINION;NO;4;NO;-8;NO;NO;NA;-8;NO;NA;NA;PASSIVE;178;50;15.780835753061481
FEMALE;40;35-44;URBAN 20,000-100,000;Lubelskie;POST-SECONDARY OR HIGHER;law;EMPLOYED IN PRIVATE SECTOR;-8;2000;DIVORCED;10;1993;6;2002;MOSTLY SATISFIED;1;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;8;YES;20;NO;NO;NO;-8;NO;NA;NA;ACTIVE;159;57;22.54657648036074
FEMALE;75;65+;RURAL AREAS;Wielkopolskie;SECONDARY;no specialisation;RETIRED;0;1157;MARRIED;11;1955;NA;NA;PLEASED;12;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;15;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;162;99;37.722908093278456
MALE;21;16-24;RURAL AREAS;Kujawsko-pomorskie;PRIMARY/NO EDUCATION;no specialisation;UNEMPLOYED;24;NA;SINGLE;NA;NA;NA;NA;PLEASED;1;MOST PEOPLE CAN BE TRUSTED;NO OPINION;NO OPINION;YES;8;YES;10;NO;NO;NA;-8;NO;NA;NA;NONE;186;75;21.678806798473808
FEMALE;43;35-44;RURAL AREAS;Dolnoslaskie;PRIMARY/NO EDUCATION;no specialisation;FARMER;0;1000;MARRIED;4;1988;NA;NA;MOSTLY SATISFIED;4;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;0;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;168;67;23.738662131519277
MALE;34;25-34;RURAL AREAS;Dolnoslaskie;POST-SECONDARY OR HIGHER;mathematics and statistics;EMPLOYED IN PUBLIC SECTOR;0;4000;MARRIED;8;2001;NA;NA;PLEASED;2;MOST PEOPLE CAN BE TRUSTED;NO;YES;NO;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;184;110;32.49054820415879
FEMALE;35;35-44;RURAL AREAS;Kujawsko-pomorskie;SECONDARY;social sciences;OTHER ECONOMICALLY INACTIVE;0;800;MARRIED;6;1998;NA;NA;PLEASED;1;MOST PEOPLE CAN BE TRUSTED;YES;YES;YES;20;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;166;53;19.233560749020178
MALE;47;45-59;URBAN 100,000-200,000;Malopolskie;VOCATIONAL/GRAMMAR;services for the population and transport services;EMPLOYED IN PRIVATE SECTOR;0;1200;MARRIED;4;1989;NA;NA;MIXED;6;IT`S DIFFICULT TO TELL;YES;YES;YES;5;YES;20;NO;NO;NO;-8;NO;NA;NA;NONE;164;64;23.795359904818564
MALE;20;16-24;URBAN 100,000-200,000;Warminsko-mazurskie;SECONDARY;no specialisation;PUPIL OR STUDENT;-8;-8;SINGLE;NA;NA;NA;NA;PLEASED;0;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;4;NO;-8;NO;NO;NA;-8;NO;NA;NA;ACTIVE;182;86;25.963047941069917
MALE;71;65+;RURAL AREAS;Podlaskie;SECONDARY;technical science;RETIRED;-8;1000;MARRIED;9;1963;NA;NA;PLEASED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;-8;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;170;106;36.67820069204153
FEMALE;41;35-44;RURAL AREAS;Lodzkie;SECONDARY;social sciences;OTHER ECONOMICALLY INACTIVE;18;NA;MARRIED;4;1991;NA;NA;PLEASED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;160;66;25.781249999999996
MALE;60;60-64;RURAL AREAS;Slaskie;SECONDARY;technical science;LONG-TERM SICK/DISABLED;24;900;SINGLE;NA;NA;NA;NA;MOSTLY DISSATISFIED;10;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;0;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;178;75;23.671253629592222
MALE;74;65+;URBAN 100,000-200,000;Mazowieckie;SECONDARY;technical science;RETIRED;0;1500;MARRIED;10;1977;NA;NA;MOSTLY SATISFIED;2;ONE CAN`T BE TOO CAREFUL;NO OPINION;YES;NO;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;173;76;25.393431120318084
FEMALE;52;45-59;URBAN 20,000-100,000;Swietokrzyskie;SECONDARY;technical science;EMPLOYED IN PRIVATE SECTOR;-8;2000;MARRIED;12;1979;NA;NA;PLEASED;7;MOST PEOPLE CAN BE TRUSTED;YES;YES;YES;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;162;75;28.577960676726104
MALE;25;25-34;URBAN BELOW 20,000;Zachodnio-pomorskie;POST-SECONDARY OR HIGHER;economy and administration;UNEMPLOYED;-8;NA;SINGLE;NA;NA;NA;NA;MOSTLY DISSATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;NO;0;NO;-8;NO;NO;NA;-8;YES, TO EU COUNTRY;IT DEPENDS;NA;ACTIVE;186;80;23.12406058503873
MALE;77;65+;RURAL AREAS;Lodzkie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;940;MARRIED;10;1958;NA;NA;MIXED;16;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;180;75;23.148148148148145
FEMALE;20;16-24;URBAN 20,000-100,000;Pomorskie;VOCATIONAL/GRAMMAR;no specialisation;PUPIL OR STUDENT;0;NA;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;4;YES;10;YES;NO;NA;-8;YES, TO EU COUNTRY;IT DEPENDS;GREAT BRITAIN;ACTIVE;157;60;24.341758286340216
MALE;40;35-44;URBAN BELOW 20,000;Malopolskie;VOCATIONAL/GRAMMAR;services for the population and transport services;EMPLOYED IN PUBLIC SECTOR;-8;1890;MARRIED;NA;1990;NA;NA;PLEASED;0;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;2;YES;10;NO;NO;NO;-8;NO;NA;NA;NONE;178;82;25.88057063502083
FEMALE;31;25-34;RURAL AREAS;Lubelskie;POST-SECONDARY OR HIGHER;economy and administration;EMPLOYED IN PRIVATE SECTOR;-8;1050;DIVORCED;7;2004;9;2009;MOSTLY SATISFIED;4;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;5;YES;20;NO;NO;NO;-8;NO;NA;NA;ACTIVE;155;63;26.22268470343392
MALE;64;60-64;RURAL AREAS;Dolnoslaskie;POST-SECONDARY OR HIGHER;technical science;RETIRED;24;1600;MARRIED;4;1986;NA;NA;DELIGHTED;8;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;165;70;25.71166207529844
FEMALE;30;25-34;URBAN 100,000-200,000;Wielkopolskie;SECONDARY;social sciences;EMPLOYED IN PRIVATE SECTOR;0;1600;SINGLE;NA;NA;NA;NA;PLEASED;0;MOST PEOPLE CAN BE TRUSTED;YES;NO;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;169;60;21.007667798746546
FEMALE;27;25-34;RURAL AREAS;Lodzkie;POST-SECONDARY OR HIGHER;social sciences;EMPLOYED IN PUBLIC SECTOR;0;1400;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;1;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;170;62;21.453287197231838
MALE;24;16-24;RURAL AREAS;Wielkopolskie;SECONDARY;computer science;UNEMPLOYED;24;-8;SINGLE;NA;NA;NA;NA;PLEASED;0;IT`S DIFFICULT TO TELL;YES;YES;YES;10;NO;-8;NO;NO;YES;4;YES, TO EU COUNTRY;IT DEPENDS;GERMANY;ACTIVE;190;80;22.1606648199446
MALE;83;65+;URBAN 20,000-100,000;Zachodnio-pomorskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;-8;1600;MARRIED;NA;1958;NA;NA;MOSTLY SATISFIED;9;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;166;68;24.677021338365513
FEMALE;21;16-24;RURAL AREAS;Malopolskie;SECONDARY;no specialisation;PUPIL OR STUDENT;-8;-8;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;0;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;160;60;23.437499999999996
FEMALE;37;35-44;RURAL AREAS;Warminsko-mazurskie;SECONDARY;agriculture, forestry, fishing;OTHER ECONOMICALLY INACTIVE;-8;-8;MARRIED;3;1995;NA;NA;PLEASED;1;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;164;60;22.308149910767405
FEMALE;80;65+;URBAN 100,000-200,000;Opolskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;1200;MARRIED;10;1951;NA;NA;MIXED;12;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;150;80;35.55555555555556
MALE;29;25-34;RURAL AREAS;Slaskie;POST-SECONDARY OR HIGHER;architecture and construction;EMPLOYED IN PRIVATE SECTOR;0;2300;MARRIED;9;2008;NA;NA;MOSTLY SATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;196;101;26.29112869637651
MALE;48;45-59;RURAL AREAS;Pomorskie;VOCATIONAL/GRAMMAR;services for the population and transport services;EMPLOYED IN PRIVATE SECTOR;0;1700;MARRIED;8;1987;NA;NA;MOSTLY SATISFIED;1;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;180;85;26.234567901234566
FEMALE;57;45-59;URBAN BELOW 20,000;Zachodnio-pomorskie;SECONDARY;technical science;OTHER ECONOMICALLY INACTIVE;-8;NA;MARRIED;1;1978;NA;NA;PLEASED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;158;57;22.832879346258608
MALE;57;45-59;URBAN 500,000 AND OVER;Lodzkie;SECONDARY;technical science;EMPLOYED IN PRIVATE SECTOR;0;3000;MARRIED;8;1975;NA;NA;PLEASED;5;IT`S DIFFICULT TO TELL;YES;YES;NA;10;NO;-8;NO;NA;NO;-8;NO;NA;NA;NONE;178;90;28.40550435551067
MALE;55;45-59;URBAN 200,000-500,000;Slaskie;VOCATIONAL/GRAMMAR;technical science;EMPLOYED IN PRIVATE SECTOR;0;2000;MARRIED;4;1978;NA;NA;MOSTLY SATISFIED;3;IT`S DIFFICULT TO TELL;YES;YES;YES;5;YES;20;NO;YES;NO;-8;NA;NA;NA;NONE;176;90;29.054752066115704
FEMALE;75;65+;RURAL AREAS;Pomorskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;0;901;MARRIED;4;1960;NA;NA;MOSTLY SATISFIED;8;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;147;67;31.005599518719055
FEMALE;81;65+;URBAN 200,000-500,000;Slaskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;1040;MARRIED;11;1955;NA;NA;MOSTLY SATISFIED;13;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;15;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;160;82;32.03124999999999
FEMALE;64;60-64;RURAL AREAS;Mazowieckie;SECONDARY;production and processing;RETIRED;0;750;MARRIED;10;1976;NA;NA;MIXED;9;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;4;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;156;70;28.763971071663377
FEMALE;19;16-24;URBAN 100,000-200,000;Podkarpackie;VOCATIONAL/GRAMMAR;no specialisation;PUPIL OR STUDENT;-8;NA;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;NO;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;171;48;16.415307274033037
MALE;30;25-34;RURAL AREAS;Mazowieckie;VOCATIONAL/GRAMMAR;production and processing;EMPLOYED IN PRIVATE SECTOR;0;3500;MARRIED;12;2001;NA;NA;PLEASED;1;ONE CAN`T BE TOO CAREFUL;YES;NO;NO;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;178;85;26.82742078020452
FEMALE;58;45-59;URBAN 100,000-200,000;Zachodnio-pomorskie;POST-SECONDARY OR HIGHER;architecture and construction;RETIRED;0;1200;DIVORCED;10;1975;NA;1998;MIXED;10;IT`S DIFFICULT TO TELL;YES;NO;NO;3;NO;-8;NO;NO;NO;-8;YES, TO EU COUNTRY;IT DEPENDS;GREAT BRITAIN;NONE;158;72;28.841531805800347
FEMALE;20;16-24;URBAN 100,000-200,000;Slaskie;SECONDARY;no specialisation;PUPIL OR STUDENT;-8;NA;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;1;IT`S DIFFICULT TO TELL;NO OPINION;NO OPINION;YES;4;NO;-8;NO;NO;NA;-8;NO;NA;NA;PASSIVE;168;63;22.321428571428577
FEMALE;55;45-59;RURAL AREAS;Zachodnio-pomorskie;VOCATIONAL/GRAMMAR;social sciences;UNEMPLOYED;24;NA;MARRIED;4;1980;NA;NA;PLEASED;1;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;156;75;30.818540433925047
FEMALE;75;65+;RURAL AREAS;Warminsko-mazurskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;0;953;DIVORCED;11;1955;4;1980;MOSTLY DISSATISFIED;14;ONE CAN`T BE TOO CAREFUL;NO;NO;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;150;82;36.44444444444444
FEMALE;58;45-59;RURAL AREAS;Malopolskie;PRIMARY/NO EDUCATION;no specialisation;LONG-TERM SICK/DISABLED;-8;680;MARRIED;8;1972;NA;NA;MOSTLY SATISFIED;8;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;1;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;155;100;41.62330905306971
FEMALE;45;45-59;URBAN 20,000-100,000;Slaskie;POST-SECONDARY OR HIGHER;liberal arts;SELF-EMPLOYED;0;1000;MARRIED;4;1991;NA;NA;MIXED;5;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;4;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;162;64;24.38652644413961
FEMALE;43;35-44;RURAL AREAS;Kujawsko-pomorskie;VOCATIONAL/GRAMMAR;services for the population and transport services;OTHER ECONOMICALLY INACTIVE;24;3000;MARRIED;6;1990;NA;NA;MOSTLY DISSATISFIED;15;IT`S DIFFICULT TO TELL;NO;NO;YES;0;YES;20;YES;YES;NO;-8;NO;NA;NA;NONE;166;66;23.95122659311947
MALE;56;45-59;RURAL AREAS;Lubelskie;PRIMARY/NO EDUCATION;no specialisation;UNEMPLOYED;24;100;WIDOWED;6;1985;10;1997;TERRIBLE;9;IT`S DIFFICULT TO TELL;YES;YES;YES;1;YES;20;NO;NO;NO;-8;NO;NA;NA;NONE;172;55;18.591130340724717
MALE;39;35-44;RURAL AREAS;Zachodnio-pomorskie;PRIMARY/NO EDUCATION;no specialisation;EMPLOYED IN PRIVATE SECTOR;6;1100;SINGLE;NA;NA;NA;NA;MOSTLY DISSATISFIED;4;IT`S DIFFICULT TO TELL;NO;NO;YES;5;YES;10;YES;YES;NO;-8;NO;NA;NA;NONE;182;84;25.359256128486894
FEMALE;38;35-44;RURAL AREAS;Warminsko-mazurskie;VOCATIONAL/GRAMMAR;services for the population and transport services;EMPLOYED IN PUBLIC SECTOR;0;1000;MARRIED;9;1991;NA;NA;MOSTLY SATISFIED;0;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;2;YES;5;NO;NO;NO;-8;NO;NA;NA;NONE;164;70;26.026174895895306
FEMALE;44;35-44;RURAL AREAS;Zachodnio-pomorskie;SECONDARY;public health;EMPLOYED IN PUBLIC SECTOR;0;2000;MARRIED;12;1988;NA;NA;PLEASED;1;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;164;63;23.423557406305775
MALE;62;60-64;URBAN 100,000-200,000;Opolskie;SECONDARY;technical science;RETIRED;0;3500;MARRIED;11;1973;NA;NA;MIXED;11;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;0;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;179;79;24.65590961580475
MALE;42;35-44;RURAL AREAS;Malopolskie;VOCATIONAL/GRAMMAR;other;EMPLOYED IN PUBLIC SECTOR;-8;2000;SINGLE;NA;NA;NA;NA;MIXED;1;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;2;YES;25;NO;NO;NO;-8;NO;NA;NA;NONE;176;80;25.826446280991735
